#ID	T_SAND	T_SILT	T_CLAY	T_USDA_TEX_CLASS	T_OC	S_SAND	S_SILT	S_CLAY	S_USDA_TEX_CLASS	S_OC
11600	45	36	19	9	1	39	34	27	5	0.47
11601	42	36	22	9	1	41	34	25	9	0.37
11602	87	9	4	12	2.18	88	8	4	13	0.39
11603	89	6	5	13	0.5	89	6	5	13	0.3
11604	86	10	4	12	1.97	85	10	5	12	0.91
11605	87	9	4	12	2.18	88	8	4	13	0.39
11606	77	14	9	11	0.7	67	16	17	11	0.4
11607	86	10	4	12	1.97	85	10	5	12	0.91
11608	87	9	4	12	2.18	88	8	4	13	0.39
11609	75	15	10	11	0.7	68	17	15	11	0.27
11610	38	42	20	9	4.59	38	32	30	5	0.67
11611	79	13	8	12	2.59	-99	-99	-99	-99	-99
11612	45	52	3	7	4.6	51	45	4	11	0.81
11613	38	42	20	9	4.59	38	32	30	5	0.67
11614	20	40	40	3	33.63	47	26	27	10	32.89
11615	42	38	20	9	1.45	45	35	20	9	0.5
11616	49	31	20	9	2.4	-99	-99	-99	-99	-99
11617	86	10	4	12	1.97	85	10	5	12	0.91
11618	76	14	10	11	0.89	60	14	26	10	0.6
11619	87	9	4	12	2.18	88	8	4	13	0.39
11620	37	44	19	9	0.99	31	38	31	5	0.29
11621	86	10	4	12	1.97	85	10	5	12	0.91
11622	87	9	4	12	2.18	88	8	4	13	0.39
11623	37	44	19	9	0.99	31	38	31	5	0.29
11624	32	49	19	9	2.22	25	51	24	7	0.5
11625	35	33	32	5	39.4	52	23	25	10	38.46
11626	20	40	40	3	33.63	47	26	27	10	32.89
